,kanwil,cabang,jalan,des_kec,kab_prov,telepon
61,UPC GEBANG,CP PKL BRANDAN,JALAN TANJUNG PURA,"Pelawi Selatan, Babalan","Langkat, Sumatera Utara",082161233241
62,UPC BESITANG,CP PKL BRANDAN,JL RAYA MEDAN - BANDA ACEH,"Bukit Kubu, Besitang","Langkat, Sumatera Utara",082277425684
63,UPC KUALA,CP BINJAI,JALAN BINJAI KUALA,"Pekan Kuala, Kuala","Langkat, Sumatera Utara",081262307516
64,UPC BINJAI UTARA,CP BINJAI,JALAN TA. HAMZAH NO. 93,"Kebun Lada, Binjai Utara","Binjai, Sumatera Utara",082277610794
65,UPC PASAR TAVIP,CP BINJAI,JALAN KH WAHID HASYIM NO.10,"Tangsi, Binjai Kota","Binjai, Sumatera Utara",082161235195
66,UPC MERDEKA,CP BINJAI,JALAN GATOTO SUBROTO NO.1,"Tangsi, Binjai Kota","Binjai, Sumatera Utara",085362310566
67,UPC SOEKARNO HATTA,CP BINJAI,JALAN SOEKARNO HATTA KM 21.5 NO.93,"Tanah Tinggi, Binjai Timur","Binjai, Sumatera Utara",081269359879
68,UPC BANGKATAN,CP BINJAI,JALAN LET. JAMIN GINTING NO.67,"Rambung Dalam, Binjai Selatan","Binjai, Sumatera Utara",082272948663
69,UPC PASAR SUNGGAL,CP MEDAN SUNGGAL,JALAN PAM TIRTANADI NO.188,"Sunggal, Medan Sunggal","Medan, Sumatera Utara",0618474121
70,UPC CINTA DAMAI,CP MEDAN SUNGGAL,JALAN ASRAMA NO.18,"Cinta Damai, Medan Helvetia","Medan, Sumatera Utara",0618445555
71,UPC AMAL,CP MEDAN SUNGGAL,JALAN AMAL NO.1FF,"Simpang Tanjung, Medan Sunggal","Medan, Sumatera Utara",06180030057
72,UPC ASOKA,CP MEDAN SUNGGAL,JALAN BUNGA ASOKA NO.49,"Asam Kumbang, Medan Selayang","Medan, Sumatera Utara",0618200140
73,UPC BATANG HARI,CP MEDAN SUNGGAL,JALAN SEI BATANGHARI NO.49E,"Simpang Tanjung, Medan Sunggal","Medan, Sumatera Utara",0618445021
74,UPC LODENDANG,CP KRAKATAU,JL PERHUBUNGAN NO 163,"Laut Dendang, Percut Sei Tuan","Deli Serdang, Sumatera Utara",06180034173
75,UPC PERJUANGAN,CP KRAKATAU,JL.RAKYAT NO.102,"Sidorame Timur, Medan Perjuangan","Medan, Sumatera Utara",0616643597
76,UPC PANCING,CP KRAKATAU,JALAN PERJUANGAN NO.97,"Sidorejo Hilir, Medan Tembung","Medan, Sumatera Utara",0614569092
77,UPC SIDORUKUN,CP KRAKATAU,JALAN SIDORUKUN NO 149 B,"Pulo Brayan Darat II, Medan Timur","Medan, Sumatera Utara",0616640255
78,UPC MAHAMERU,CP KRAKATAU,JALAN MAHAMERU NO.21,"Pulo Brayan Darat II, Medan Timur","Medan, Sumatera Utara",0616633349
79,UPC BAYANGKARA,CP KRAKATAU,JALAN BHAYANGKARA 427B,"Indra Kasih, Medan Tembung","Medan, Sumatera Utara",0616613108
80,UPC TIGA BINANGA,CP KABANJAHE,JALAN KAPTEN PALA BANGUN NOMOR 81,"Tiga Binanga, Tiga Binanga","Karo, Sumatera Utara",083176151465
81,UPC BRASTAGI,CP KABANJAHE,JALAN PASAR NO 60 BRASTAGI,"Raya, Brastagi (Berastagi)","Karo, Sumatera Utara",081295734714
82,UPC TIGA PANAH,CP KABANJAHE,JALAN KABANJAHE-P.SIANTAR NO 16,"Tigapanah, Tiga Panah","Karo, Sumatera Utara",081265190001
83,UPC PASAR IV,CP MEDAN KARYA,JALAN VETERAN PASAR IV NO.14B,"Helvetia, Labuhan Deli","Deli Serdang, Sumatera Utara",0618466585
84,UPC ADAM MALIK,CP MEDAN KARYA,JALAN H ADAM MALIK NO.109,"Karang Berombak, Medan Barat","Medan, Sumatera Utara",081267375487
85,UPC TIGA LINGGA,CP SIDIKALANG,JALAN SM RAJA NO.32,"Tiga Lingga, Tiga Lingga","Dairi, Sumatera Utara",082274357181
86,UPC SUMBUL,CP SIDIKALANG,JALAN SM. RAJA NO. 193,"Pegagan Julu II, Sumbul","Dairi, Sumatera Utara",08116171744
87,UPC SERDANG,CP GAHARU,"JALAN H.M YAMIN, SH NO. 382","Sei Kerah Hilir I, Medan Perjuangan","Medan, Sumatera Utara",0614570382
88,UPC KAMPUNG DURIAN,CP GAHARU,JALAN CAHAYA NO. 100,"Gaharu, Medan Timur","Medan, Sumatera Utara",0616630932
