,kanwil,cabang,jalan,des_kec,kab_prov,telepon
2433,UPC JELAMBAR,CP GROGOL,JL.JELAMBAR JAYA III NO.44,"Jelambar, Grogol Petamburan","Jakarta Barat, DKI Jakarta",02156949305
2434,UPC ROXY SQUARE,CP GROGOL,JL.KYAI TAPA LANTAI G BLOK II NO.5-6,"Grogol, Grogol Petamburan","Jakarta Barat, DKI Jakarta",02156953498
2435,UPC PASAR TIMBUL,CP GROGOL,JL.TOMANG TINGGI RAYA NO.39,"Tomang, Grogol Petamburan","Jakarta Barat, DKI Jakarta",02129414614
2436,UPC JEMBATAN BESI,CP GROGOL,MALL SEASONS CITY BLOK C12 NO 1 DAN 5,"Jembatan Besi, Tambora","Jakarta Barat, DKI Jakarta",02163862602
2437,UPC KAPUK,CP CENGKARENG,JL KAPUK KAMAL RAYA NO 36,"Kamal Muara, Penjaringan","Jakarta Utara, DKI Jakarta",02154360956
2438,UPC BASMOL,CP CENGKARENG,JL BASMOL RAYA NO 45D,"Kembangan Utara, Kembangan","Jakarta Barat, DKI Jakarta",02158355463
2439,UPC PURI KEMBANGAN,CP CENGKARENG,KP.BUGIS JL.RAYA KEMBANGAN NO.80 RT 004 RW 03 KEMBANGAN,"Kembangan Utara, Kembangan","Jakarta Barat, DKI Jakarta",02158353311
2440,UPC DURI KOSAMBI,CP CENGKARENG,JL.RAYA DURI KOSAMBI RT 012 RW 07 CENGKARENG,"Duri Kosambi, Cengkareng","Jakarta Barat, DKI Jakarta",02154360497
2441,UPC PASAR DADAP,CP CENGKARENG,JL.DADAP RAYA RT 001 RW 004 KOSAMBI,"Jatimulya, Kosambi","Tangerang, Banten",02155953313
2442,UPC TAMAN PALM,CP CENGKARENG,"KIOS LANTAI DASAR /B/67A, JL.KAMAL RAYA OUTER RIN RT - RW - CENGKARENG","Cengkareng Timur, Cengkareng","Jakarta Barat, DKI Jakarta",02154390763
2443,UPC KRESEK RAYA,CP CENGKARENG,JL.KRESEK RAYA BLOK D EXT.5 NO.16 RT 006 RW 18 CENGKARENG,"Duri Kosambi, Cengkareng","Jakarta Barat, DKI Jakarta",02129440135
2444,UPC PASAR BOJONG INDAH,CP CENGKARENG,"JL.CABE RAWIT NO.1B, BOJONG INDAH RT - RW - CENGKARENG","Rawa Buaya, Cengkareng","Jakarta Barat, DKI Jakarta",02158353621
2445,UPC TAMAN PALEM LESTARI,CP CENGKARENG,RUKO TAMAN PALEM LESTARI BLOK D10 NO.19 RT - RW - CENGKARENG,"Cengkareng Timur, Cengkareng","Jakarta Barat, DKI Jakarta",02129411679
2446,UPC PINTU AIR,CP CENGKARENG,JL.KAMAL RAYA RT 11 RW 08 CENGKARENG,"Cengkareng Timur, Cengkareng","Jakarta Barat, DKI Jakarta",02155958696
2447,UPC KEDOYA SELATAN,CP MERUYA,JL KEDOYA RAYA NO 50,"Kedoya Selatan, Kebon Jeruk","Jakarta Barat, DKI Jakarta",02158353375
2448,UPC INTERCON,CP MERUYA,JL MERUYA ILIR NO 16,"Meruya Utara (Ilir), Kembangan","Jakarta Barat, DKI Jakarta",0215873479
2449,UPC MERUYA ILIR,CP MERUYA,JALAN RAYA MERUYA ILIR NO.4 RT 04 RW 01 KEMBANGAN,"Meruya Utara (Ilir), Kembangan","Jakarta Barat, DKI Jakarta",02158905233
2450,UPC MALL PERMATA,CP MERUYA,ITC PERMATA HIJAU LT.D/C10/2-3 JALAN LETJEN SOEPENO RT 0 RW 0 KEBAYORAN LAMA,"Grogol Utara, Kebayoran Lama","Jakarta Selatan, DKI Jakarta",02153663986
2451,UPC GROGOL UTARA,CP MERUYA,JALAN RAYA KEBAYORAN LAMA NO.30/34,"Sukabumi Selatan (Udik), Kebon Jeruk","Jakarta Barat, DKI Jakarta",02153662463
2452,UPC SRENGSENG RAYA,CP MERUYA,JL SRENGSENG RAYA NO 5D,"Srengseng, Kembangan","Jakarta Barat, DKI Jakarta",02158907399
2453,UPC CIPADU,CP KREO,JL WAHID HASYIM,"CIPADU, LARANGAN","TANGERANG, Banten",0217307309
2454,UPC PEDURENAN,CP KREO,JL.KYAI HASYIM ASHARI NO 9 RT 0 RW 0 KARANG TENGAH,"PEDURENAN, KARANG TENGAH","TANGERANG, Banten",0217307311
2455,UPC MERCUBUANA,CP KREO,JL MERUYA SELATAN NO.2B RT 07 RW 04 KEMBANGAN,"Meruya Selatan (Udik), Kembangan","Jakarta Barat, DKI Jakarta",02158902750
2456,UPC HOS COKROAMINOTO,CP KREO,JL.HOS COKROAMINOTO NO 63 RT 01 RW 05 KARANG TENGAH,"KARANG TIMUR, KARANG TENGAH","TANGERANG, Banten",0217307498
2457,UPC KOTABAMBU,CP KEMANDORAN,JALAN KOTA BAMBU UTARA IV NO.16,"Palmerah, Palmerah","Jakarta Barat, DKI Jakarta",02156950661
2458,UPC SLIPI JAYA,CP KEMANDORAN,JALAN ANGGREK ROSLIANA BLOK D2 NO.34,"Palmerah, Palmerah","Jakarta Barat, DKI Jakarta",02153662322
2459,UPC INSPEKSI ROSLIANA,CP KEMANDORAN,JL INSPEKSI ANGGREK ROSLIANA VII NO 220A,"Kemanggisan, Palmerah","Jakarta Barat, DKI Jakarta",0215356104
2460,UPC ANGGREK,CP KEMANDORAN,JL ANGGREK NO 7A,"Kelapa Dua, Kebon Jeruk","Jakarta Barat, DKI Jakarta",02153654755
2461,UPC KELAPA DUA,CP KEMANDORAN,JL RAYA KELAPA DUA NO.2A,"Kebon Jeruk, Kebon Jeruk","Jakarta Barat, DKI Jakarta",02153654695
2462,UPC PLAZA SLIPI JAYA,CP KEMANDORAN,PLAZA SLIPI JAYA LT.II NO.11C JL. S PARMAN KAV.17,"Slipi, Palmerah","Jakarta Barat, DKI Jakarta",0215304005
2463,UPC ANDONG RAYA,CP KEMANDORAN,JL ANDONG RAYA NO.8 KOTA BAMBU,"Kota Bambu Selatan, Palmerah","Jakarta Barat, DKI Jakarta",0215630010
2464,UPC PALMERAH UTARA,CP KEMANDORAN,JALAN PALMERAH UTARA RAYA NO. 102,"Palmerah, Palmerah","Jakarta Barat, DKI Jakarta",02153654390
2465,UPC BAMBU LARANGAN,CP KALIDERES,BAMBU LARANGAN RT 008 RW 009 KALIDERES,"Pegadungan, Kalideres","Jakarta Barat, DKI Jakarta",0215406897
2466,UPC TELUK NAGA,CP KALIDERES,JALAN SELEMBARAN RAYA NO.12 RT 02 RW 02 TELUKNAGA,"Kampung Melayu Timur, Teluknaga","Tangerang, Banten",02155930414
2467,UPC PETA SELATAN,CP KALIDERES,JALAN PETA SELATAN NO.33 RT 00 RW 00 KALIDERES,"Kalideres, Kalideres","Jakarta Barat, DKI Jakarta",02154361514
2468,UPC BENDA,CP KALIDERES,JALAN HALIM PERDANA KUSUMA NO.88A RT 006 RW 08 BENDA,"Jurumudi Baru, Benda","Tangerang, Banten",02155733813
2469,CP PONDOK PINANG,Wilayah 9 Jakarta II,JALAN CIPUTAT RAYA NO. 41D RT 09 RW 02 KEBAYORAN LAMA,"Pondok Pinang, Kebayoran Lama","Jakarta Selatan, DKI Jakarta",0217508778
2470,CP PONDOK LABU,Wilayah 9 Jakarta II,JALAN MARGASATWA NO.27 RT 004 RW 001 CILANDAK,"Pondok Labu, Cilandak","Jakarta Selatan, DKI Jakarta",0217511388
2471,CP CIRENDEU,Wilayah 9 Jakarta II,CIRENDEU RAYA KOMP.RUKO PRIMA INDAH NO.8 RT 00 RW 00 CIPUTAT TIMUR,"Cireundeu, Ciputat Timur","Tangerang Selatan, Banten",0217445618
2472,CP BINTARO,Wilayah 9 Jakarta II,JALAN RC VETERAN NO.8H BINTARO,"Bintaro, Pesanggrahan","Jakarta Selatan, DKI Jakarta",0217342954
2473,CP PASAR CIPUTAT,Wilayah 9 Jakarta II,JL.ARYA PUTRA NO.79 CIPUTAT,"Ciputat, Ciputat","Tangerang Selatan, Banten",02174704142
2474,CP BINTARO SEKTOR 3,Wilayah 9 Jakarta II,PERKANTORAN BINTARO SEKTOR 3A BLOK C NO.65 PONDOK AREN,"Pondok Aren, Pondok Aren","Tangerang Selatan, Banten",0217365906
2475,CP PAMULANG,Wilayah 9 Jakarta II,RUKO PAMULANG PERMAI BLOK SH 20 NO 5 PAMULANG,"Pamulang Timur, Pamulang","Tangerang Selatan, Banten",02129446287
2476,CP CIPUTAT,Wilayah 9 Jakarta II,JL.IR.H.JUANDA NO . 6 / DEPAN POLSEK CIPUTAT,"Cempaka Putih, Ciputat Timur","Tangerang Selatan, Banten",0217401383
2477,UPC GOR GAPLEK,CP CIPUTAT,JL.DR.SETIA BUDI PAMULANG. NO. 63 PAMULANG TIMUR,"Pamulang Timur, Pamulang","Tangerang Selatan, Banten",0217491389
2478,UPC KELURAHAN PONDOK RANJI,CP CIPUTAT,JALAN WR. SUPRATMAN NO. 47 DEPAN KOMPLEK COUNTRY WOOD,"Rengas, Ciputat Timur","Tangerang Selatan, Banten",0217422833
2479,UPC PASAR MODERN BINTARO,CP CIPUTAT,PASAR MODERN BINTARO JAYA SEKTOR VII . BLOK KA. NO 11/12,"Pondok Jaya, Pondok Aren","Tangerang Selatan, Banten",0217459566
2480,UPC JAGAKARSA,CP PONDOK LABU,JL. JAGAKARSA RAYA NO.109 RT 00 RW 00 JAGAKARSA,"Jagakarsa, Jagakarsa","Jakarta Selatan, DKI Jakarta",02178885741
2481,UPC PASAR JUMAT,CP PONDOK LABU,JL. LEBAK BULUS RAYA NO.09 RT 008 RW 002 CILANDAK,"Lebak Bulus, Cilandak","Jakarta Selatan, DKI Jakarta",02175904173
2482,UPC PD LABU 2,CP PONDOK LABU,"JALAN FATMAWATI, ONE BELPARK MALL LT.LG NO.33A","Pondok Labu, Cilandak","Jakarta Selatan, DKI Jakarta",02127651563
2483,UPC H IPIN,CP PONDOK LABU,JALAN KARANG TENGAH I RT 003 RW 008 CILANDAK,"Lebak Bulus, Cilandak","Jakarta Selatan, DKI Jakarta",02175904207
2484,UPC PESANGGRAHAN,CP BINTARO,JALAN BINTARO PERMAI NO.39 RT 00 RW 00 PESANGGRAHAN,"Bintaro, Pesanggrahan","Jakarta Selatan, DKI Jakarta",0217351668
2485,UPC PAHLAWAN,CP BINTARO,JALAN REMPOA RAYA NO.15C RT 00 RW 00 CIPUTAT TIMUR,"Rengas, Ciputat Timur","Tangerang Selatan, Banten",02173887910
2486,UPC BINTARO KESEHATAN,CP BINTARO,JALAN KESEHATAN BAWAH NO.34 RT 00 RW 00 PESANGGRAHAN,"Bintaro, Pesanggrahan","Jakarta Selatan, DKI Jakarta",0217359104
2487,UPC BINTARO SEKTOR 9,CP BINTARO,JALAN JOMBANG RAYA NO.25 RT 00 RW 00 PONDOK AREN,"Perigi Baru, Pondok Aren","Tangerang Selatan, Banten",02174863542
2488,UPC CEGER,CP BINTARO,JALAN CEGER RAYA NO.10 RT 00 RW 00 PONDOK AREN,"Jurang Mangu Barat, Pondok Aren","Tangerang Selatan, Banten",02173690147
2489,UPC JOMBANG,CP PASAR CIPUTAT,JALAN RAYA JOMBANG NO.88 CIPUTAT,"Sarua Indah, Ciputat","Tangerang Selatan, Banten",02174864620
2490,UPC SARUA INDAH,CP PASAR CIPUTAT,JL.ARIA PUTRA NO.5C RT 01 RW 04 CIPUTAT,"Sarua Indah, Ciputat","Tangerang Selatan, Banten",02174635130
2491,UPC KP UTAN,CP PASAR CIPUTAT,JL.WR.SUPRATMAN NO.81 CIPUTAT TIMUR,"Rengas, Ciputat Timur","Tangerang Selatan, Banten",0217426185
2492,UPC REMPOA,CP PASAR CIPUTAT,JL.PAHLAWAN NO.04 CIPUTAT TIMUR,"Rengas, Ciputat Timur","Tangerang Selatan, Banten",0217414983
2493,UPC PORTAL,CP PASAR CIPUTAT,JL.PAJAJARAN NO.22 A PAMULANG,"Pamulang Timur, Pamulang","Tangerang Selatan, Banten",0217423653
2494,UPC KH DEWANTARA,CP PASAR CIPUTAT,JL.KH.DEWANTORO CIPUTAT,"Pamulang Timur, Pamulang","Tangerang Selatan, Banten",0217491123
2495,UPC TARUNA NEGARA,CP PASAR CIPUTAT,JL.PURNAWIRAWAN NO.1E RT CIPUTAT TIMUR,"Cireundeu, Ciputat Timur","Tangerang Selatan, Banten",0217420085
2496,UPC TEGAL ROTAN,CP BINTARO SEKTOR 3,JL.TEGAL ROTAN RAYA NO.53C CIPUTAT,"Sawah Lama, Ciputat","Tangerang Selatan, Banten",0217451991
2497,UPC ARINDA,CP BINTARO SEKTOR 3,JALAN RAYA PONDOK AREN NO 8 RT 00 RW 00 PONDOK AREN,"Pondok Aren, Pondok Aren","Tangerang Selatan, Banten",0217331307
2498,UPC PASAR BINTARO S2,CP BINTARO SEKTOR 3,JALAN BINTARO TENGAH RAYA NO 16 RT 00 RW 00 PONDOK AREN,"Pondok Aren, Pondok Aren","Tangerang Selatan, Banten",02173885856
2499,UPC BINTARO SEKTOR 5,CP BINTARO SEKTOR 3,JALAN BINTARO UTAMA 5 ED1 NO 30 RT 00 RW 00 PONDOK AREN,"Pondok Aren, Pondok Aren","Tangerang Selatan, Banten",085778136906
2500,UPC SENTRA MENTENG S7,CP BINTARO SEKTOR 3,RUKO SENTRA MENTENG BLOK MN NO.16 RT 00 RW 00 PONDOK AREN,"Pondok Aren, Pondok Aren","Tangerang Selatan, Banten",02174863832
2501,UPC PAMULANG II,CP PAMULANG,JL. BENDA PERMAI RAYA BLOK B6 NO.9,"Pondok Benda, Pamulang","Tangerang Selatan, Banten",02122743895
2502,UPC BUARAN VICTOR,CP PAMULANG,JL.PUSPITEK RAYA PEREMPATAN VIKTOR SETU,"Bakti Jaya, Setu","Tangerang Selatan, Banten",0217561651
2503,UPC PASAR PRUMPUNG,CP PAMULANG,KAMPUNG PRUMPUNG GUNUNG SINDUR,"Gunung Sindur, Gunung Sindur","Bogor, Jawa Barat",0217565986
2504,UPC PERMATA PAMULANG,CP PAMULANG,PERMATA PAMULANG NO 02 SETU,"Bakti Jaya, Setu","Tangerang Selatan, Banten",02175791341
2505,UPC CAHAYA BARU,CP PAMULANG,JL MALUKU BLOK Q RUKO NO 6 PAMULANG,"Pondok Benda, Pamulang","Tangerang Selatan, Banten",02174717484
2506,UPC POIN SQUARE,CP PONDOK PINANG,MALL POINT SQUARE LANTAI LG NO.29-30,"Lebak Bulus, Cilandak","Jakarta Selatan, DKI Jakarta",02175913812
2507,UPC PRAJA DALAM,CP PONDOK PINANG,JALAN PRAJA DALAM K RT 07 RW 12 KEBAYORAN LAMA,"Kebayoran Lama Selatan, Kebayoran Lama","Jakarta Selatan, DKI Jakarta",0217231101
2508,UPC KOMPLEK KODAM,CP PONDOK PINANG,JALAN GARUDA NO.23 RT 06 RW 06 PESANGGRAHAN,"Pesanggrahan, Pesanggrahan","Jakarta Selatan, DKI Jakarta",0217354865
2509,UPC GAPLEK TIMUR,CP CIRENDEU,DR.SETYABUDI NO.27 RT 00 RW 00 PAMULANG,"Pamulang Timur, Pamulang","Tangerang Selatan, Banten",0217411915
2510,UPC CINANGKA,CP CIRENDEU,MUHAMAD TOHA NO.12 RT 00 RW 00 PAMULANG,"Pamulang Timur, Pamulang","Tangerang Selatan, Banten",0217412237
2511,UPC BONA INDAH,CP CIRENDEU,KARANG TENGAH RAYA NO.5 RT 00 RW 00 CILANDAK,"Lebak Bulus, Cilandak","Jakarta Selatan, DKI Jakarta",02175914312
2512,UPC FATMAWATI,CP CIRENDEU,JL LEBAK BULUS I NO.48,"Cilandak Barat, Cilandak","Jakarta Selatan, DKI Jakarta",0217512769
2513,CP CIMINDI,Wilayah 10 Bandung,JALAN RAYA CILEMBER NO.285,"Cigugur Tengah, Cimahi Tengah","Cimahi, Jawa Barat",0226652015
2514,CP PADALARANG,Wilayah 10 Bandung,KOMP. RUKO PADALARANG POINT KAV. D/H JALAN RAYA PADA,"Kertamulya, Padalarang","Bandung Barat, Jawa Barat",02286814128
2515,CP SUKABUMI,Wilayah 10 Bandung,JALAN PELABUHAN II NO. 119,"Tipar, Citamiang","Sukabumi, Jawa Barat",0266222973
2516,CP SUKAJADI,Wilayah 10 Bandung,JALAN SEDERHANA NO. 6A-6B,"Pasteur, Sukajadi","Bandung, Jawa Barat",0222037961
2517,CP GEGERKALONG,Wilayah 10 Bandung,JALAN GEGERKALONG HILIR NO.13,"Geger Kalong, Sukasari","Bandung, Jawa Barat",02220272365
2518,CP CIKUDAPATEUH,Wilayah 10 Bandung,JALAN JEND. AHMAD YANI NO.240,"Kacapiring, Batununggal","Bandung, Jawa Barat",0227271767
2519,CP CIMAHI,Wilayah 10 Bandung,JALAN ENCEP KARTAWIRIA PASAR ATAS N0.68,"Cimahi, Cimahi Tengah","Cimahi, Jawa Barat",0226654202
2520,CP PUNGKUR,Wilayah 10 Bandung,JALAN PUNGKUR NO.123,"Balong Gede, Regol","Bandung, Jawa Barat",0224230178
2521,CP CIANJUR,Wilayah 10 Bandung,JALAN. SITI JENAB. NO. 12,"Pamoyanan, Cianjur","Cianjur, Jawa Barat",0263261204
2522,UPC PASAR ANDIR,CP SUKAJADI,JALAN RAJAWALI TIMUR NO.197,"Dungus Cariang, Andir","Bandung, Jawa Barat",085100368721
2523,UPC GARUDA,CP SUKAJADI,JALAN GARUDA/NURTANIO NO.108E,"Garuda, Andir","Bandung, Jawa Barat",0226019644
2524,UPC PASTEUR,CP SUKAJADI,JALAN PROF. DRG. SURYA SUMANTRI NO. 11,"Sukawarna, Sukajadi","Bandung, Jawa Barat",0222009176
2525,UPC DAGO,CP SUKAJADI,JALAN IR. H. JUANDA NO. 296B 40164,"Dago, Coblong","Bandung, Jawa Barat",0222532523
2526,UPC CIUMBULEUIT,CP SUKAJADI,JALAN CIUMBULEUIT NO. 93,"Ciumbuleuit, Cidadap","Bandung, Jawa Barat",0222035208
2527,UPC SARIJADI,CP SUKAJADI,PERUMNAS SARIJADI BLOK XIV JALAN SARIMANAH RAYA NO.,"Sarijadi, Sukasari","Bandung, Jawa Barat",0222005149
2528,UPC BALUBUR,CP SUKAJADI,JALAN TAMANSARI RT 05/11 LT. D1-H-07G BALTOS,"Lebak Siliwangi, Coblong","Bandung, Jawa Barat",02284468714
2529,UPC LEMBANG,CP GEGERKALONG,JALAN PEGADAIAN NO.III,"Sukajaya, Lembang","Bandung Barat, Jawa Barat",0222786448
2530,UPC LEDENG,CP GEGERKALONG,JALAN SETIA BUDI NO.228A,"Ledeng, Cidadap","Bandung, Jawa Barat",0222013692
2531,UPC PASAR LEMBANG,CP GEGERKALONG,JALAN GRAND HOTEL NO.10,"Sukajaya, Lembang","Bandung Barat, Jawa Barat",0222784623
2532,UPC ANTAPANI,CP CIKUDAPATEUH,JALAN PURWAKARTA NO.43,"Antapani Kulon, Antapani (Cicadas)","Bandung, Jawa Barat",0227200125
2533,UPC BANDUNG TRADE MALL,CP CIKUDAPATEUH,JALAN IBRAHIM AJIE NO.34,"Babakan Surabaya, Kiaracondong","Bandung, Jawa Barat",02287243148
2534,UPC ANTAPANI TENGAH,CP CIKUDAPATEUH,JALAN CIBATU RAYA NO.69,"Antapani Tengah, Antapani (Cicadas)","Bandung, Jawa Barat",0227271799
2535,UPC WARUNG CONTONG,CP CIMAHI,JALAN WARUNG CONTONG NO.15,"Setiamanah, Cimahi Tengah","Cimahi, Jawa Barat",0226610538
2536,UPC CIWARUGA,CP CIMAHI,JALAN CIWARUGA JAYA NO.2,"Ciwaruga, Parongpong","Bandung Barat, Jawa Barat",0222018509
2537,UPC RANCA BELUT,CP CIMAHI,JALAN RAYA BARAT NO.753,"Padasuka, Cimahi Tengah","Cimahi, Jawa Barat",0226631174
2538,UPC CIHANJUANG,CP CIMAHI,JALAN JATI NO.29B,"Cibabat, Cimahi Utara","Cimahi, Jawa Barat",0226642366
2539,UPC CIPAGERAN,CP CIMAHI,KOMPLEK PURI CIPAGERAN 1 BLOK C NO.217,"Cibabat, Cimahi Utara","Cimahi, Jawa Barat",0226640963
2540,UPC HOLIS,CP PUNGKUR,JALAN HOLIS NO.121,"Warung Muncang, Bandung Kulon","Bandung, Jawa Barat",02220560464
2541,UPC JAMIKA,CP PUNGKUR,JALAN JAMIKA NO.102,"Suka Asih, Bojongloa Kaler","Bandung, Jawa Barat",0226003256
2542,UPC CARINGIN,CP PUNGKUR,JALAN SOEKARNO HATTA NO.175,"Babakan Ciparay, Babakan Ciparay","Bandung, Jawa Barat",0226003906
2543,UPC PASIR KOJA,CP PUNGKUR,JALAN TERUSAN PASIR KOJA NO.136,"Suka Asih, Bojongloa Kaler","Bandung, Jawa Barat",0226124025
2544,UPC BTC MALL,CP PUNGKUR,JALAN DR.JUNJUNAN MALL BTC N0.143-149 LT. LGF NO.3,"Pamoyanan, Cicendo","Bandung, Jawa Barat",0226126438
2545,UPC ASTANA ANYAR,CP PUNGKUR,JALAN ASTANA ANYAR NO.109,"Karanganyar, Astana Anyar","Bandung, Jawa Barat",0224233132
2546,UPC BIP MALL,CP PUNGKUR,JALAN MERDEKA NO.56 MALL BIP LT.1 NO.54 A,"Merdeka, Sumur Bandung","Bandung, Jawa Barat",0224213511
2547,UPC CIGERELENG,CP PUNGKUR,JALAN MOCH TOHA NO.411,"Wates, Bandung Kidul","Bandung, Jawa Barat",0225206189
2548,UPC PASAR MUKA,CP CIANJUR,JALAN N ARIF RAHMAN HAKIM RUKO NO.6,"Muka, Cianjur","Cianjur, Jawa Barat",0263283565
2549,UPC BOJONG HERANG,CP CIANJUR,JALAN N. RUMAH SAKIT RUKO NO 6,"Bojongherang, Cianjur","Cianjur, Jawa Barat",02630000
2550,UPC WARUNG KONDANG,CP CIANJUR,JALAN N. RAYA SUKA BUMI KM9,"Cisarandi, Warungkondang","Cianjur, Jawa Barat",02632287940
2551,UPC CIRANJANG,CP CIANJUR,JALAN N. RAYA CIRANJANG N0.100,"Mekarwangi, Haurwangi","Cianjur, Jawa Barat",0263322138
2552,UPC RAJAMANDALA,CP CIANJUR,JALAN N. RAYA RAJA MANDALA NO 445,"Ciptaharja, Cipatat","Bandung Barat, Jawa Barat",0226900182
2553,UPC CIKALONG KULON,CP CIANJUR,JALAN RAYA SILIWANGI,"Sukagalih, Cikalongkulon","Cianjur, Jawa Barat",0263317023
2554,UPC PACET,CP CIANJUR,JALAN RAYA PACET NO.1,"Cipendawa, Pacet","Cianjur, Jawa Barat",0263512588
2555,UPC CIPANAS,CP CIANJUR,JALAN MARIWATI NO 34,"Cipendawa, Pacet","Cianjur, Jawa Barat",0263517788
2556,UPC NANJUNG,CP CIMINDI,JALAN RAYA MARGAASIH NO.88 BLOK N4,"Cigondewah Rahayu, Bandung Kulon","Bandung, Jawa Barat",085222377504
2557,UPC MELONG,CP CIMINDI,JALAN SINGOSARI RAYA F-24A,"Melong, Cimahi Selatan","Cimahi, Jawa Barat",082218148566
2558,UPC CIJERAH,CP CIMINDI,JALAN CIJERAH NO.248,"Cijerah, Bandung Kulon","Bandung, Jawa Barat",0226019457
2559,UPC PAL 3,CP CIMINDI,JALAN CIJERAH NO.78,"Cijerah, Bandung Kulon","Bandung, Jawa Barat",087825859817
2560,UPC TAGOG,CP CIMINDI,JENDERAL HAJI AMIR MAHMUD NO.477,"Cimahi, Cimahi Tengah","Cimahi, Jawa Barat",0226648448
2561,UPC RANCABALI,CP PADALARANG,JALAN RAYA PADALARANG NO. 97,"Padalarang, Padalarang","Bandung Barat, Jawa Barat",0226809778
2562,UPC BATUJAJAR,CP PADALARANG,JALAN RAYA BATUJAJAR NO. 263,"Batujajar Barat, Batujajar","Bandung Barat, Jawa Barat",02286861308
2563,UPC CICURUG,CP SUKABUMI,JALAN SILIWANGI NO.90,"Nanggerang, Cicurug","Sukabumi, Jawa Barat",0266731109
2564,UPC PELABUHAN RATU,CP SUKABUMI,JALAN SILIWANGI KOMPLEKS DERMAGA PELABUHANRATU,"Pelabuhanratu (Palabuhanratu), Pelabuhan/Palabuhan Ratu","Sukabumi, Jawa Barat",0266434027
2565,UPC CISAAT,CP SUKABUMI,JALAN RAYA RAMBAY NO. 76,"Selajambe, Cisaat","Sukabumi, Jawa Barat",0266211170
2566,UPC PASAR PELITA,CP SUKABUMI,JALAN TEMBUSAN STASIUN TIMUR PASAR PELITA,"Kebonjati, Cikole","Sukabumi, Jawa Barat",0266231157
2567,UPC CIKOLE,CP SUKABUMI,JALAN R.A. KOSASIH NO. 116B,"Subangjaya, Cikole","Sukabumi, Jawa Barat",0266235263
2568,UPC CIBADAK,CP SUKABUMI,JALAN SURYA KENCANA NO 101,"Cibadak, Cibadak","Sukabumi, Jawa Barat",0266531054
2569,UPC PANGLESERAN,CP SUKABUMI,JALAN PELABUHAN II KM 12 CIKEMBAR,"Cibolang, Gunung Guruh","Sukabumi, Jawa Barat",02666324561
2570,UPC KADUDAMPIT,CP SUKABUMI,JALAN KADUDAMPIT NO 15 D 31/32,"Nagrak, Cisaat","Sukabumi, Jawa Barat",0266243759
2571,CP SUCI,Wilayah 10 Bandung,JALAN PHH.MUSTOFA NO.101,"Sukapada, Cibeunying Kidul","Bandung, Jawa Barat",02220537860
2572,CP PASAR KORDON,Wilayah 10 Bandung,JL TERUSAN BUAH BATU NO.144,"Kujangsari, Bandung Kidul","Bandung, Jawa Barat",0227507980
2573,CP SAYATI,Wilayah 10 Bandung,JALAN KOPO SAYATI NO.231,"SAYATI, MARGAHAYU","BANDUNG, Jawa Barat",0225416022
2574,CP PASAR BANJARAN,Wilayah 10 Bandung,JALAN RAYA BANJARAN NO.17,"Kiangroke, Banjaran","Bandung, Jawa Barat",0225941273
2575,CP CIKAMPEK,Wilayah 10 Bandung,JALAN IR. H. JUANDA NO. 84,"Cikampek Utara, Kotabaru","Karawang, Jawa Barat",0264316566
2576,CP SOREANG,Wilayah 10 Bandung,JALAN RAYA TIMUR NO. 71,"Soreang, Soreang","Bandung, Jawa Barat",0225891233
2577,CP BUAH BATU,Wilayah 10 Bandung,JALAN BUAH BATU NO.201 C,"Turangga, Lengkong","Bandung, Jawa Barat",0227303551
2578,CP CIPARAY,Wilayah 10 Bandung,JALAN LASWI NO.584,"Bumiwangi, Ciparay","Bandung, Jawa Barat",0225950757
2579,CP UJUNGBERUNG,Wilayah 10 Bandung,JALAN SUKUP BARU NO.1A,"Pasir Endah, Ujung Berung","Bandung, Jawa Barat",0227837998
2580,CP KIARACONDONG,Wilayah 10 Bandung,JALAN IBRAHIM ADJIE NO. 301,"Kebon Kangkung, Kiaracondong","Bandung, Jawa Barat",0227311774
2581,CP METRO,Wilayah 10 Bandung,JALAN VENUS RAYA NO. 14,"Manjahlega (Cisarantenkidul), Rancasari","Bandung, Jawa Barat",0227569038
2582,CP SUBANG,Wilayah 10 Bandung,JALAN LETJEN SUPRAPTO NO.2,"Cigadung, Subang","Subang, Jawa Barat",0260411601
2583,CP PURWAKARTA,Wilayah 10 Bandung,JALAN KAPTEN HALIM NO.37,"Nagrikidul, Purwakarta","Purwakarta, Jawa Barat",0264200547
2584,UPC KATAPANG,CP SOREANG,JALAN RAYA KOPO KATAPANG KM 12.5,"KATAPANG, KATAPANG","BANDUNG, Jawa Barat",0225891087
2585,UPC CIWIDEY,CP SOREANG,KOMPLEK PASAR CIBEUREUM BLOK L CIWEDEY,"Pasirjambu, Pasirjambu","Bandung, Jawa Barat",0225929127
2586,UPC CIPANJI,CP SOREANG,JALAN RAYA CIHAMPELAS KP. CIPANJI,"Karangtanjung, Cililin","Bandung Barat, Jawa Barat",02286862118
2587,UPC SRIWIJAYA,CP BUAH BATU,JALAN SRIWIJAYA NO.4,"Cigereleng, Regol","Bandung, Jawa Barat",0225226330
2588,UPC LENGKONG,CP BUAH BATU,JALAN LENGKONG KECIL NO.40,"Paledang, Lengkong","Bandung, Jawa Barat",0224240072
